Data/Time,CPU usage %,Temperature C
2022-04-05 00:33:45.255637,16.6,40.9
2022-04-05 00:33:55.517595,17.8,41.8
2022-04-05 00:34:05.887627,16.6,40.9
2022-04-05 00:34:16.137637,17.2,41.3
2022-04-05 00:34:26.367593,18.2,41.3
2022-04-05 00:34:36.597642,17.7,40.4
2022-04-05 00:34:46.837630,16.3,41.8
2022-04-05 00:34:57.058012,17.4,42.3
2022-04-05 00:35:07.277658,16.2,41.8
2022-04-05 00:35:17.667697,19,41.8
2022-04-05 00:35:28.048076,25.5,41.3
2022-04-05 00:35:38.433815,27.5,40.4
2022-04-05 00:35:48.668205,26.7,39.9
2022-04-05 00:35:58.937594,26.1,41.8
2022-04-05 00:36:09.167629,23.8,41.8
2022-04-05 00:36:19.559048,24.3,42.8
2022-04-05 00:36:29.817706,23.4,40.4
2022-04-05 00:36:40.277827,25,41.3
2022-04-05 00:36:50.548095,25.7,41.8
2022-04-05 00:37:00.809746,26.8,41.8
2022-04-05 00:37:11.167798,27.1,41.3
2022-04-05 00:37:21.410213,26.1,41.3
2022-04-05 00:37:31.720698,16.5,40.9
2022-04-05 00:37:41.977645,18.2,41.3
2022-04-05 00:37:52.227154,17.3,41.3
2022-04-05 00:38:02.737694,17.8,41.3
2022-04-05 00:38:13.107619,16.5,41.3
2022-04-05 00:38:23.367721,17.2,41.3
2022-04-05 00:38:33.707699,20.2,39.9
2022-04-05 00:38:44.101056,22.7,40.4
2022-04-05 00:38:54.507784,23,40.4
2022-04-05 00:39:04.879254,23,39.9
2022-04-05 00:39:15.087620,23.9,40.4
2022-04-05 00:39:25.327586,16.1,41.3
2022-04-05 00:39:35.677576,20.3,40.9
2022-04-05 00:39:46.028060,17.5,40.9
2022-04-05 00:39:56.392275,16.6,41.3
2022-04-05 00:40:06.617597,16.6,41.3
2022-04-05 00:40:16.877629,15.7,41.3
2022-04-05 00:40:27.147663,16.9,40.4
2022-04-05 00:40:37.377840,17.3,40.4
2022-04-05 00:40:47.757651,16.6,42.3
2022-04-05 00:40:58.007628,16.9,40.4
2022-04-05 00:41:08.367634,15.8,41.3
2022-04-05 00:41:18.757612,15.9,41.3
2022-04-05 00:41:28.967632,17.1,41.8
2022-04-05 00:41:39.204331,17.6,41.3
2022-04-05 00:41:49.437727,16.1,40.4
2022-04-05 00:41:59.667703,20,40.9
2022-04-05 00:42:09.897569,16.6,41.8
2022-04-05 00:42:20.250324,15.8,41.3
2022-04-05 00:42:30.487590,16.6,41.3
2022-04-05 00:42:40.857713,16.8,41.3
2022-04-05 00:42:51.147586,18.7,40.4
2022-04-05 00:43:01.377642,18.2,40.9
2022-04-05 00:43:11.778519,17.4,41.8
2022-04-05 00:43:22.027709,16.2,40.9
2022-04-05 00:43:32.452284,23.6,41.3
2022-04-05 00:43:42.657663,25.8,41.3
2022-04-05 00:43:52.937608,26.5,41.3
2022-04-05 00:44:03.179842,29.3,41.8
2022-04-05 00:44:13.407639,28.5,40.9
2022-04-05 00:44:23.637731,29,41.8
2022-04-05 00:44:34.081016,28.3,40.9
2022-04-05 00:44:44.447577,27.4,40.9
2022-04-05 00:44:54.817629,28.4,40.4
2022-04-05 00:45:05.087891,27.7,40.9
2022-04-05 00:45:15.487745,25.9,41.8
2022-04-05 00:45:25.877712,23,41.3
2022-04-05 00:45:36.267650,16.7,40.4
2022-04-05 00:45:46.521243,16,40.4
2022-04-05 00:45:56.907610,16,40.4
2022-04-05 00:46:07.137651,17.2,40.9
2022-04-05 00:46:17.407606,17.1,41.3
2022-04-05 00:46:27.627709,16.6,41.8
2022-04-05 00:46:37.847747,16,40.4
2022-04-05 00:46:48.057634,16,40.9
2022-04-05 00:46:58.269592,17.1,41.8
2022-04-05 00:47:08.477672,16,40.9
2022-04-05 00:47:18.857712,16.6,40.4
2022-04-05 00:47:29.127571,17.1,40.4
2022-04-05 00:47:39.337731,15.7,40.9
2022-04-05 00:47:49.707674,16.5,40.9
2022-04-05 00:47:59.967606,16.6,41.3
2022-04-05 00:48:10.217683,17,40.9
2022-04-05 00:48:20.727601,17.2,39.9
2022-04-05 00:48:31.167674,21.4,40.4
2022-04-05 00:48:41.397805,16.9,41.3
2022-04-05 00:48:51.627828,18.3,41.3
2022-04-05 00:49:01.857702,24.8,41.8
2022-04-05 00:49:12.127726,16.6,41.3
2022-04-05 00:49:22.345086,15.6,40.4
2022-04-05 00:49:32.823488,16.5,40.9
2022-04-05 00:49:43.057858,16.1,40.9
2022-04-05 00:49:53.287663,15.9,40.4
2022-04-05 00:50:03.667769,18,40.4
2022-04-05 00:50:14.047672,19.4,39.9
2022-04-05 00:50:24.282820,16.3,41.3
2022-04-05 00:50:34.597608,17,40.9
2022-04-05 00:50:44.967622,16.1,41.8
2022-04-05 00:50:55.357668,15.9,41.3
2022-04-05 00:51:05.577626,17.8,40.4
2022-04-05 00:51:15.947667,16.9,40.9
2022-04-05 00:51:26.217592,16.3,42.8
2022-04-05 00:51:36.437681,17.4,40.9
2022-04-05 00:51:46.819433,16.8,39.9
2022-04-05 00:51:57.210798,19.4,40.9
2022-04-05 00:52:07.467780,21.7,40.9
2022-04-05 00:52:17.687694,15.8,41.3
2022-04-05 00:52:27.897603,15.9,40.9
2022-04-05 00:52:38.255384,15.5,40.4
2022-04-05 00:52:48.489541,15.9,40.9
2022-04-05 00:52:58.737635,15.7,40.9
2022-04-05 00:53:08.967628,16.2,40.4
2022-04-05 00:53:19.387629,17.6,40.4
2022-04-05 00:53:29.880604,17.1,40.4
2022-04-05 00:53:40.137623,19.4,41.3
2022-04-05 00:53:50.375521,15.8,40.4
2022-04-05 00:54:00.617743,17.4,40.4
2022-04-05 00:54:10.878231,16.5,40.9
2022-04-05 00:54:21.117644,17.3,40.9
2022-04-05 00:54:31.458855,17.9,41.8
2022-04-05 00:54:41.707707,17.4,41.8
2022-04-05 00:54:51.987675,17.2,41.3
2022-04-05 00:55:02.217648,18.2,41.3
2022-04-05 00:55:12.477691,19.4,41.8
2022-04-05 00:55:22.707624,18.1,40.9
2022-04-05 00:55:33.197645,20.6,41.3
2022-04-05 00:55:43.478799,26.8,39.4
2022-04-05 00:55:53.758064,27.3,40.9
2022-04-05 00:56:04.007690,26.8,40.9
2022-04-05 00:56:14.237667,24.2,41.3
2022-04-05 00:56:24.452214,18.2,39.9
2022-04-05 00:56:34.687633,19.9,40.9
2022-04-05 00:56:44.929287,15.8,39.4
2022-04-05 00:56:55.308068,14.6,40.4
2022-04-05 00:57:05.579242,16.5,39.9
2022-04-05 00:57:15.862284,16.8,40.9
2022-04-05 00:57:26.117640,15.7,40.9
2022-04-05 00:57:36.377619,18.2,41.3
2022-04-05 00:57:46.617703,16.6,40.9
2022-04-05 00:57:56.867773,16.4,41.3
2022-04-05 00:58:07.117720,16.6,41.3
2022-04-05 00:58:17.367591,16.5,40.4
2022-04-05 00:58:27.587750,16.6,41.3
2022-04-05 00:58:38.107693,17.5,40.4
2022-04-05 00:58:48.337601,17.7,41.3
2022-04-05 00:58:58.557693,18.4,40.4
2022-04-05 00:59:08.797922,18.4,40.9
2022-04-05 00:59:19.177801,19.8,40.9
2022-04-05 00:59:29.557705,21.9,40.9
2022-04-05 00:59:39.818070,21.4,40.9
2022-04-05 00:59:50.107630,24.9,40.9
2022-04-05 01:00:00.337611,26.9,39.9
2022-04-05 01:00:10.707711,30.1,40.4
2022-04-05 01:00:21.087631,28.1,40.4
2022-04-05 01:00:31.597641,18.5,39.9
2022-04-05 01:00:41.817809,15.9,40.9
2022-04-05 01:00:52.067697,16.5,41.3
2022-04-05 01:01:02.337868,18.2,40.4
2022-04-05 01:01:12.573558,16.9,41.3
2022-04-05 01:01:22.839056,15.6,41.3
2022-04-05 01:01:33.147636,19.6,40.4
2022-04-05 01:01:43.517631,16.5,40.9
2022-04-05 01:01:53.877613,16.9,40.4
2022-04-05 01:02:04.143800,16.4,40.4
2022-04-05 01:02:14.397628,16.9,40.9
2022-04-05 01:02:24.617612,16.8,40.4
2022-04-05 01:02:34.987662,18.4,40.4
2022-04-05 01:02:45.217584,17.6,41.3
2022-04-05 01:02:55.447498,17.5,40.4
2022-04-05 01:03:05.707647,17.8,40.9
2022-04-05 01:03:16.097609,17.7,41.3
2022-04-05 01:03:26.502331,18.4,40.4
2022-04-05 01:03:36.717780,18.4,40.4
2022-04-05 01:03:47.097598,18.3,40.9
2022-04-05 01:03:57.357622,21.6,40.9
2022-04-05 01:04:07.747597,20.5,41.3
2022-04-05 01:04:17.987632,22.3,40.9
2022-04-05 01:04:28.217775,25.6,40.4
2022-04-05 01:04:38.497599,30.2,41.8
2022-04-05 01:04:48.717424,26.5,41.3
2022-04-05 01:04:58.947612,24.5,39.9
2022-04-05 01:05:09.229286,20.5,39.9
2022-04-05 01:05:19.617634,15.3,39.4
2022-04-05 01:05:29.997608,16.3,40.9
2022-04-05 01:05:40.267659,15.7,40.9
2022-04-05 01:05:50.638908,16.2,40.4
2022-04-05 01:06:00.888756,17,39.9
2022-04-05 01:06:11.277590,20,40.4
2022-04-05 01:06:21.628130,23.6,40.4
2022-04-05 01:06:31.927779,25.9,40.4
2022-04-05 01:06:42.197841,26.9,39.9
2022-04-05 01:06:52.437723,24,40.4
2022-04-05 01:07:02.679314,16.6,40.4
2022-04-05 01:07:12.907655,15.7,40.9
2022-04-05 01:07:23.127749,15.4,40.4
2022-04-05 01:07:33.529324,16.7,40.9
2022-04-05 01:07:43.787356,16.6,40.4
2022-04-05 01:07:54.027685,15.9,41.3
2022-04-05 01:08:04.268295,16.3,40.9
2022-04-05 01:08:14.657696,20.8,40.9
2022-04-05 01:08:25.027671,16.4,40.9
2022-04-05 01:08:35.287780,17.8,41.3
2022-04-05 01:08:45.567600,17.6,41.3
2022-04-05 01:08:55.957745,18.3,40.4
2022-04-05 01:09:06.177857,16.9,41.3
2022-04-05 01:09:16.407670,16.3,40.4
2022-04-05 01:09:26.656623,17.4,39.9
2022-04-05 01:09:36.887653,16.7,40.9
2022-04-05 01:09:47.277648,16.8,39.9
2022-04-05 01:09:57.667630,22,40.9
2022-04-05 01:10:07.908043,26.4,40.9
2022-04-05 01:10:18.167660,26,39.9
2022-04-05 01:10:28.397610,24.9,39.9
2022-04-05 01:10:38.797626,24.4,39.9
2022-04-05 01:10:49.187651,24.1,41.3
2022-04-05 01:10:59.567625,23.5,40.9
2022-04-05 01:11:09.797621,22.8,39.4
2022-04-05 01:11:20.047610,23.8,40.9
2022-04-05 01:11:30.447653,24.5,41.3
2022-04-05 01:11:40.689391,22,39.9
2022-04-05 01:11:50.967589,22.1,40.4
2022-04-05 01:12:01.197670,25,41.3
2022-04-05 01:12:11.417709,29.5,39.9
